,상품명,가격
0,"난이생생 계란 15개입 (왕란, 1020g)","6,280"
1,파머스픽 가농 1+등급 25개입 특란,"8,780"
2,백색란 30개입 대란,"6,980"
3,파머스픽 1+ 등급란 10개입 특란,"4,280"
4,오늘반찬은 신선한란 30알,"8,480"
5,산야초 먹인 동물복지인증 유정란 15개입 (780g내외),"6,480"
6,"[풀무원] 동물복지 유정란 15개입 (대란, 780g)","8,980"
7,"[풀무원] 신선가득 계란 15개입 (대란, 780g)","7,980"
8,파머스픽 1등급란 15개입 특란,"6,280"
9,"동물복지 자유방목 유정란 10개입 (대란, 520g)","6,480"
10,동물복지 자유방목 유정란 25개입 대란,"14,800"
11,PEACOCK,"7,480"
12,파머스픽 1등급 목초먹인계란 15개입 대란,"6,280"
13,동물복지 백색유정란 15개입 대란,"8,480"
14,난이생생 15개입(1020g) 왕란,"6,280"
15,파머스픽 1등급 6개입 특란,"3,480"
16,"동물복지 유정란 25개입 (대란, 1300g)","11,800"
17,SSG.Fresh,"9,680"
18,파머스픽 1등급 의성마늘계란 15개입 대란,"6,280"
19,동물복지계란 15알,"6,480"
20,PEACOCK,"4,980"
21,동물복지 유정란 15개입 (특란),"8,980"
22,풀무원,"9,980"
23,무항생제 신선계란 30입,"9,786"
24,하림,"7,984"
25,동물복지 토종닭이 낳은 유정란(10개입),"6,480"
26,[1번사육]동물복지 자유방목 무항생제 신선유정란 15입,"10,384"
27,상하 노른자가 진한 1+등급란 15개입,"6,980"
28,풀무원,"8,980"
29,SSG.Fresh,"8,680"
30,SSG.Fresh,"3,980"
31,"1등급 우리집 신선계란 20개입 대란 1,040g","6,780"
32,SSG.Fresh,"6,480"
33,파머스픽 1등급 청국장먹인계란 15개입 대,"6,280"
34,풀무원,"7,980"
35,조인 강남농장 동물복지 백색유정란 15구,"6,732"
36,우리집 신선 하얀계란(30구/대란),"9,980"
37,무항생제 목초먹인 신선 영양란 30구,"11,186"
38,SSG 동물복지유정란 20구,"8,800"
39,[1번사육]동물복지 자유방목 무항생제 신선유정란 햇달걀 20입,"12,784"
40,SSG.Fresh,"5,980"
41,SSG.Fresh,"8,480"
42,조인 강남농장 동물복지 백색유정란 20구,"8,982"
43,풀무원,"9,980"
44,유황먹인 무항생제 달걀 25구(1300g),"9,584"
45,하림,"5,980"
46,동물복지 유정 청란 10개입,"7,380"
47,바로먹는 삶은메추리알(10알),"1,380"
48,풀무원,"9,980"
49,1+등급 신선한란 15알(특란),"5,980"
50,SSG FOOD MARKET,"7,980"
51,SSG.Fresh,"8,480"
52,조인 누테이블 갈색 구운란 30구,"11,980"
53,[1번사육]동물복지 자유방목 무항생제  신선유정란 10입,"6,980"
54,지리산 산골 어린닭이 낳은 신선햇달걀 20입,"7,184"
55,동물복지 산골 유정란 25입,"11,800"
56,"[하림]무항생제 영양란 25개입(1,300g)","10,784"
57,SSG.Fresh,"9,980"
58,SSG.Fresh,"3,980"
59,오골계 유정란10구,"7,380"
60,동물복지 산골 유정란 햇달걀 20입,"8,480"
61,SSG.Fresh,"5,980"
62,조인 누테이블 백색 반숙란 20구,"10,980"
63,[1번사육]지리산 산골 1등급 111 동물복지 자유방목 신선유정란 10입,"6,980"
64,SSG FOOD MARKET,"9,980"
65,산골 목초먹인 신선계란 30입,"9,480"
66,SSG FOOD MARKET,"7,980"
67,상하농원 순갈색 동물복지 유정란 10개입 (520g),"6,800"
68,SSG FOOD MARKET,"7,480"
69,[2번사육]유기농 유정란 6구(312g),"5,480"
70,SSG.Fresh,"4,480"
71,SSG FOOD MARKET,"5,480"
72,"신선한 계란 30개입 (특란, 1800g)","6,880"
73,파머스픽 1등급란 의성마늘계란 25입/대란,"8,480"
74,짜지않은반숙란8입,"6,280"
75,조인 순수백색 신선햇달걀 10구,"3,280"
76,★올가닉 계란 상품 모음★,"9,786"
77,[올가닉] 계란 할인행사 (햇달걀/유정란/영양란 등),"7,984"
78,건강하게 키웠습니다. 무항생제/동물복지 계란,"9,786"
79,무항생제 동물복지 계란 할인행사 (영양란/유정란/햇달걀 등),"12,784"
